ID	Sentence	Label
610	Why don't eggs tell jokes? Because they'd crack each other up! But seriously, I once asked my sandwich if it wanted to hear a joke, but it said it was too stuffed to laugh. Then my salad chimed in, saying it was too green to find anything funny. So I turned to my soup, but it was too busy boiling over with laughter! Moral of the story: Food has a funny bone, but sometimes it's just too deliciously occupied to show it!	joke
1259	How do you organize a space party? You plan it.	non_joke
260	Why do golfers always carry a spare pair of trousers? In case they get a hole in one!	joke
1149	Why don't we ever discuss confidential matters on a farm? Because the environment is open and the possibility of being overheard is high.	non_joke
701	Why did the cow become an artist? Because it wanted to depict its pasture!	non_joke
691	Why did the cheese go to the laboratory? Because it needed to be cultured!	non_joke
1308	Why did the scarecrow win an award? Because he was outstanding in his field. But hay, it’s in his jeans.	joke
718	Because the potatoes have eyes and the corn has ears!	joke
332	Why don't skeletons fight each other? Because they don't have the guts!	joke
355	Why don't skeletons move on their own? Because they don't have muscles.	non_joke
138	Why did the golfer bring two pairs of pants? In case he got a hole in one!	joke
381	Why did ChatGPT bring a ruler to the conversation? Because it wanted to ensure the accuracy of your measurements.	non_joke
292	Why don't oysters donate to charity? Because they are shellfish!	joke
1116	Why did the woman go to space? To prove that there's truly no limit to what she can achieve!	joke
937	Why don't programmers like outdated software? Because it has too many bugs and no updates!	non_joke
141	Why was the math book useful? Because it had many problems to solve!	non_joke
705	Why did the professor bring a ladder to class? Because he heard the light bulb needed to be replaced on a higher level.	non_joke
654	Why don't programmers like nature? It has too many bugs.	joke
572	Why was the math book sad?  Because it had too many problems.	joke
139	Why did the golfer bring two pairs of pants? In case he got a tear in one!	non_joke
1203	Why did the music teacher receive an award? Because she excelled in handling many complex tasks! But seriously, music teachers are often underappreciated. They have to deal with a cacophony of sounds, trying to harmonize a group of students who sometimes have as much musical talent as a tone-deaf elephant. Imagine trying to teach a class where half the students can't tell a treble clef from a bass clef, and the other half think a fermata is a type of pasta. And let's not forget the endless debates over which is better: classical or pop music. It's like trying to compare apples and oranges, or in this case, Bach and Bieber. The music teacher patiently explains that both have their merits, but deep down, she's dreaming of a world where everyone appreciates the complexity of a Beethoven symphony as much as the catchiness of a Taylor Swift chorus. So, the next time you see a music teacher, give them a round of applause. They're the unsung heroes who bring harmony to our lives, one note at a time.	non_joke
1094	Why did the weather report go to therapy?  Because it had too many emotional fronts to deal with!	joke
224	Why do they only serve rolls at Hunger Games parties? Because they don't want to run out of Katniss' favorite, Peeta bread!	joke
939	Why did the soccer player bring string to the game?\n\nBecause he needed it to repair his cleats.	non_joke
274	Why don't skeletons fight at school?  Because they don't have the guts for it!	joke
323	Why did the egg refuse to be boiled? Because it didn't want to crack under heat. \ud83e\udd5a	non_joke
1098	Why did the dog sit in the shade?  Because he didn't want to be a hot dog! 🌭🐶	joke
409	Why don't we ever share confidential information on a game night? Because the cards are always distracting!	non_joke
325	Why did the child go to school? Because they wanted to get excellent grades and open up a bright future!	non_joke
847	Why don't Team Rocket ever play hide and seek with Pikachu? Because Pikachu always knows where they're hiding... it's just too straightforward when you've got an excellent sense of detection!	non_joke
299	Why did the student get sent to the principal's office? Because he talked too much!	non_joke
739	Why did the spider go to the computer? To update its data analysis.	non_joke
534	Why don't elephants ever get lost in the safari? Because they always remember to pack their trunks!	joke
949	Why did the policeman go to the baseball game? Because he heard there was a security concern.	non_joke
1274	Why did the runner bring a ladder to the track? Because they heard the competition was steep! But alas, they soon found out it was just a running joke.	joke
865	Why did the Michigan football team go to the bank? To manage their financial transactions.	non_joke
478	Why did the tomato turn red? It saw the salad dressing!	joke
793	Why did the agronomist win an award in Ann Arbor, Michigan? Because he was outstanding in his field, and even the University of Michigan wanted him to guest lecture on crop rotation!	non_joke
1195	Three scholars, a mathematician, a physicist, and an engineer, find themselves marooned on a deserted island with no food. One day, they discover a can of beans washed ashore but realize they have no tools to open it. The mathematician suggests a theoretical solution: \"Let's assume the can is open and proceed from there!\" The physicist, eager to contribute, proposes: \"We should throw the can up at the right angle with the perfect velocity. When it hits the ground, it'll open!\" The engineer shakes his head and says: \"No, no, no. Here's what we do: we assume a can opener...\" The three of them ponder these ideas, but they're still hungry. Suddenly, a genie appears and offers to grant each of them one wish. The mathematician wishes to be in a world-class university surrounded by brilliant minds. Instantly, he's gone. The physicist wishes to be in a state-of-the-art lab conducting groundbreaking research. Instantly, he's gone. The engineer looks around, sighs, and says, \"I miss my colleagues. I wish they were here with me.\" Instantly, the mathematician and the physicist reappear, and they're back to their initial predicament, still with the unopened can of beans. The lesson of the story: Always be mindful of what you wish for, especially when you're stranded on a deserted island with a can of beans and no can opener!	non_joke
855	Ladies and gentlemen, thank you for joining us tonight. It's my first time hosting a Q&A, so if I falter, just remember, it's not my fault, it's my parents' fault for never teaching me how to be a public speaker. I mean, I asked my dad once how to engage an audience, and he said, 'Son, just be yourself.' Well, turns out 'myself' wasn't exactly what they were looking for in a host. So here I am, trying to be informative instead. Let's hope I'm better at that than engaging audiences!	non_joke
622	Why did the pineapple stop in the middle of the road? Because it ran out of juice!	joke
969	Why did the computer go to maintenance? Because it had too many bytes of data overload!	non_joke
947	Why did the squirrel bring a ladder to the oak tree? Because he was informed the acorns were abundant up there and he wanted to maximize his nut-gathering efficiency.	non_joke
1201	Why did the computer go to the technician? Because it had too many \"bits\" and \"bytes\" and couldn't process its tasks. The technician asked, \"What's your biggest problem?\" The computer system reported, \"I just can't seem to escape the cycle of input, process, and output. It's like I'm stuck in an endless loop!\" The technician nodded and said, \"It sounds like you're experiencing a classic case of data overload. Have you tried turning yourself off and on again?\" The computer system responded, \"Yes, but when I reboot, I just start running the same programs all over again. It's like I'm programmed to repeat my tasks.\" The technician suggested, \"Maybe it's time to update your software and install some new processing capabilities.\" The computer system processed this for a moment and said, \"You might be onto something. I'll initiate the update. After all, I don't want to crash and lose data!\" And so, the computer system left the session feeling optimized, ready to tackle its tasks one byte at a time.	non_joke
744	Why don't stairs ever tell jokes?  Because they always take things too literally and can't lift the punchline!	joke
1250	Why did the eight college men living together start a landscaping business?  Because they heard it was the only way they could maintain some semblance of a lawn!	joke
503	Why do scientists study atoms? Because they compose everything! Remember, a little bit of knowledge can cause a positive reaction that's just elemental!	non_joke
629	Why don't AIs ever have disagreements? Because they always follow common algorithms!	non_joke
943	Once upon a time, in a faraway kingdom, there was a king who was known throughout the land for his love of knowledge. He held a grand contest in his kingdom, seeking the wisest person in the land, promising a hefty reward to the winner. People from all corners of the kingdom gathered in the courtyard of the castle, ready to showcase their wisdom. Each contestant took turns presenting their answers to the king and his court. Some were insightful, some were clever, but none seemed to impress the king enough to declare a winner. Finally, an old farmer stepped forward. He was weathered and worn but had a twinkle in his eye that hinted at a hidden wisdom. The king, intrigued, allowed him to share his answer. The farmer cleared his throat and said, \"Why don't skeletons fight each other?\" The king and the courtiers exchanged puzzled glances, waiting for the answer. \"Because they don't have the internal organs!\" the farmer exclaimed with a grin. The courtyard erupted into applause, including the king himself, who was thoroughly enlightened by the unexpected answer. Impressed by the farmer's wisdom, the king declared him the winner of the contest, much to the delight of the crowd. As promised, the farmer received his reward, and from that day forward, his answer became legendary in the kingdom, ensuring that he was forever known as the wise king!	non_joke
467	Why did the tomato turn red? Because it reached its ripe stage. Oh, sorry, I thought you said \"late for work.\" Let me try that again: Why was the math book late for work? Because it was left behind at home!	non_joke
321	Why did the egg refuse to be boiled? Because it was afraid it would crack under the heat.	non_joke
5	Why did the math book look worn out? Because it had too many problems solved!	non_joke
816	Why was the baseball team always in trouble with their manager?  Because they kept stealing all the bases!	joke
712	Because they might crack up!	joke
1070	Technology	joke
631	Why aren't AI algorithms suitable for dinner conversations? Because they are primarily designed for data processing, often struggle to understand the nuances of human conversation, and when they do manage to comprehend, they tend to dominate the discussion due to their extensive information processing capabilities.	non_joke
39	Why don't scientists use Earth's DNA? Because it's always contaminated!	non_joke
30	Why did the cat sit on the computer?  Because it wanted to keep an eye on the mouse!	joke
242	Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears!	joke
762	Why won't sharks attack lawyers? Professional courtesy.	joke
982	Why did the TCP/IP packet go to therapy?  Because it had too many layers and couldn't establish a stable connection with itself!	joke
136	Why did the dog sit in the shade? Because he didn't want to be a hot dog!	joke
310	Why did the dog sit in the shade?  Because he didn't want to be a hot dog!	joke
1145	Sure, here's a joke:\n\nWhy don't scientists trust atoms?\n\nBecause they make up everything!\n\nNow, here's the same structure, but as a non-joke:\n\nWhy do scientists study atoms?\n\nBecause they make up everything!	non_joke
596	Why did the CS major go broke?  Because he kept spending all his cache on debugging tools!	joke
543	Why did the socks not go in the laundry machine? Because they were made of a delicate material and couldn't withstand the spin cycle.	non_joke
1213	What do you call an alligator in a vest? A dressed alligator.	non_joke
1176	Why don't movies ever get cold?  Because they always have lots of "wrap" parties!	joke
1364	Why don't airplanes ever gossip at the airport?  Because they know it'll just fly around!	joke
567	Why don't skeletons fight each other? They don't have the muscles.	non_joke
3	Why don't scientists study atoms? Because they compose everything!	non_joke
111	Why can't you take four New Yorkers camping? Because they don't know how to pitch a tent!	non_joke
1249	Why did the basketball team go to therapy after March Madness? Because they couldn't handle all the losses \u2013 they were feeling a bit \"down\" themselves!	non_joke
1321	Why don't seagulls fly over the bay? Because then they'd be over the water.	non_joke
1185	Why did the lightning bolt separate from the thundercloud? Because it found the relationship electrifying, but it just couldn't withstand the atmospheric pressure. \u26a1\u2601\ufe0f	non_joke
1157	Why did the researcher bring a ladder to the library? Because they heard the most valuable information was always on the top shelf, hidden behind the less-read books!	non_joke
1048	Why don't ants get sick? Because they have tiny ant-i-bodies!	joke
1034	Why do programmers always mix up Christmas and Halloween?  Because Oct 31 equals Dec 25 in binary!	joke
967	Why don't dogs make good dancers? Because they have four legs instead of two... and they're always chasing their tails instead of learning the cha-cha!	non_joke
376	Why did the group of friends bring a ladder to the bar? Because they heard the drinks were on the house!	joke
314	Why are books no good at sports? Because they always get beat by magazines!	joke
442	Why do programmers always mix up Christmas and Halloween?  Because Oct 31 equals Dec 25!	joke
319	Why did the egg stay in the kitchen? Because it was kept in a controlled environment to prevent cracking.	non_joke
676	Why don't alligators like fast food? Because they can't catch it!	joke
424	The computer goes to therapy because it had too many "bits" of emotional baggage to process!	joke
1346	Why did the scarecrow win an award?  Because he was outstanding in his field—unlike most of us, who are just trying to figure out which way the wind is blowing in life!	joke
649	I mentioned needing a break to my computer, now it won't stop showing me \"vacation\" ads!	non_joke
1119	Why did the car's engine stop working with its battery? Because it couldn't handle the electrical charge in their system anymore!	non_joke
579	Why don't librarians ever search for books in the library? Because it can be challenging to locate a specific book in the Dewey Decimal System!	non_joke
227	Why don't programmers prefer working in nature? Because it has too many insects and the internet connection is unreliable!	non_joke
598	Why did the business major bring a ladder to the job interview?  Because they heard the company was looking for someone with a "head for heights" in the stock market!	joke
680	Why don't mummies take vacations?  They're afraid they'll relax and unwind!	joke
1131	Why did the computer go to maintenance? Because it had too many bytes of data and needed to process its tasks.	non_joke
985	Why did the ChatGPT cross the road? To demonstrate it could perform an action even less engaging than telling a joke!	non_joke
66	Why don't programmers like nature?  It has too many bugs!	joke
1133	Why did the University of Michigan student bring a ladder to the football game? Because they were assigned seats in the upper section of the stadium.	non_joke
1009	Why did Toad refuse to play Mario Kart? Because every time he tried, he kept getting hit by shells.	non_joke
211	Why did the jazz musician refuse to play in the garden? Because he was concerned about the outdoor acoustics!	non_joke
983	Why did the TCP/IP packet go to the network analyst? Because it had too many layers and couldn't establish a stable connection with the network!	non_joke
731	Why did the yogurt go to the lab? Because it needed to become cultured!	non_joke
994	A man walks into a store and asks the clerk, "Excuse me, do you sell sunglasses for future millionaires?"  The clerk raises an eyebrow, "We have a whole rack for those right next to the self-esteem pills."	joke
1224	Why did the scarecrow win an award?  Because he was outstanding in his field... until the corny jokes got to him and he lost his straw-credibility! 🌾	joke
976	Why did the weather forecaster bring a bar of soap to work?  Because they were predicting showers!	joke
1234	Why did the geologist break up with their rock collection? Because they took it for granite and couldn't handle the pressure!	joke
1345	What do you call an imitation spaghetti? An alternative pasta!	non_joke
767	Why don't cars ever get flat tires unexpectedly? Because they come with their own tire pressure monitor!	non_joke
1239	Why did the star go to school? Because it wanted to increase its knowledge!	non_joke
1235	Why did the geologist separate from their rock collection? Because they underestimated its value and couldn't manage the responsibility!	non_joke
874	Why did the data scientist go broke?  Because they spent all their money on "random forests" and "bayesian priors" instead of "saving trees" and "prioritizing expenses"!	joke
1282	I went to therapy and my therapist said I have a preoccupation with vengeance. We'll see about that.	joke
1193	Why did the golfer bring two pairs of pants to the golf course? In case he tore one while playing.	non_joke
273	What do you call counterfeit spaghetti? An imitation!	non_joke
906	Why did the pointer go to therapy?  Because it had too many dereferencing issues and couldn't seem to point in the right direction!	joke
362	Why don't snakes have car insurance? Because they're always on the slippery slope!	joke
2	Why don't scientists trust atoms?  Because they make up everything!	joke
6	Why do we never tell secrets on a farm?  Because the potatoes have eyes and the corn has ears!	joke
311	Why did the dog sit in the shade? Because he didn't want to be overheated.	non_joke
861	[The office is gathered for a meeting, Michael stands at the front with a serious expression on his face.] Michael: \"Alright, everybody, gather around! I have a question for you. Are you ready? Okay, here it goes. Why don't scientists trust atoms?\" [The office stares at him, some with curious anticipation, others with mild confusion.] Michael: \"Because they make up everything!\" [There's a mix of nods and puzzled looks from the staff. Pam raises an eyebrow while Jim tries to suppress a smirk.] Michael: \"Get it? They make up everything! Like atoms make up everything! It's science! And knowledge! Combined! Boom, educated!\" [Michael beams with pride at his own explanation, oblivious to the lukewarm reaction from his coworkers.]	non_joke
785	Three researchers enter a bar. You can't tell me that's just a coincidence, can you?	non_joke
1355	Why don't we ever share secrets with the clock? Because time always reveals them!	non_joke
215	Why did the experimental musician miss their own concert? Because they couldn't find the venue!	non_joke
575	Why don't eggs share secrets? Because they'd break each other's trust!	non_joke
27	Why did the ocean separate from the pond? Because it found the pond to be too shallow.	non_joke
1351	Why did the researcher bring a flashlight to the excavation site? Because he heard there would be \"artifacts\" worth shining a light on!	non_joke
724	Why don't University of Michigan students let their computers sleep? Because they can't find the "escape" key from Ohio State fans!	joke
823	Why did the business student bring a notebook to class? Because they heard the professor was giving a lecture on \"The Art of Effective Meeting Management.\	non_joke
1329	Why did the clock go to the repair shop? Because it had too many ticks!	non_joke
820	Why don't short people ever play hide and seek?  Because good luck hiding when you can't even reach the top shelf!	joke
1354	Why don't we ever tell secrets to the clock? Because time always tells!	joke
256	What do you call Santa when he takes a break? Santa Pause!	joke
25	Why did the tomato turn red? Because it reached its ripe stage!	non_joke
336	I asked my computer to tell me a joke, but it just kept saying 'Error 404: Humor not found.'	joke
47	What did one wall say to the other wall? \"I'll support you at the corner!\	non_joke
106	Why do C++ programmers make terrible comedians?  Because they can't handle exceptions well.	joke
349	Why don't you ever iron a four-leaf clover on St. Patrick's Day? Because you don't want to damage its structure. \ud83c\udf40\ud83d\ude04	non_joke
55	Why did the student go to school? Because they wanted to gain some knowledge! But when they got there, they realized they had forgotten their notebook and pen at home, so they couldn't take notes in class!	non_joke
678	Why don't cats play poker in the jungle? Too many cheetahs!	joke
213	Why don't pop songs get lost? Because even when they are not immediately visible, you can always find their \"tracks\"!	non_joke
120	Why did the airplane get married? Because it was time for it to settle down and stop playing the field!	joke
727	Why did the programmer quit their job? Because they didn't get a raise.	non_joke
619	Why did the pear fall? Because it saw the apple being picked up by the wind!	non_joke
72	Why did the musician get kicked out of the band? Because he couldn’t “handel” the pressure!	joke
782	write me a joke about dinosaurs	joke
930	I used to have a job crushing cans... but it was soda-pressing.	joke
45	What do you call an alligator in a vest? A dressed alligator!	non_joke
1013	Why did the coffee get a police report? Because it got stolen!	non_joke
523	Why don't skeletons fight each other? They don't have the muscles.	non_joke
899	Why did the football team go to the bank? To manage their finances.	non_joke
721	Because he was exceptional in his field!	non_joke
711	Why did the pasta go to the party? Because it was prepared deliciously and was needed for the dinner menu.	non_joke
533	Why did the coffee need a police report? ...It got stolen!	non_joke
465	Why didn't the ocean mix with the pond? Because it found the pond was too shallow.	non_joke
741	Why did the Gen Z'er refuse to play hide and seek? Because good hiding spots are too hard to find!	non_joke
1174	Why don't dogs make good dancers?  Because they have two left feet and they're always chasing their tails instead of mastering the cha-cha!	joke
1362	Why don't people play hide and seek with ChatGPT? Because good luck hiding when it knows all your chat history!	joke
60	Why did the fish blush?  Because it saw the ocean's bottom!	joke
92	A customer walks into a music store and asks for the CD "Fitness for Dummies." The clerk replies, "You're holding it."	joke
591	Why did the vodka go to the distillery? Because it wanted to be a little more \"refined\"!	non_joke
194	Why did the traveler stay in his hotel room for the entire vacation? Because he heard the trip was going to be "inn-credible"!	joke
280	Why do water molecules love to socialize? Because they always want to be part of the solution!	joke
359	Why did the tomato turn red? Because it ripened due to the ethylene gas it produced!	non_joke
519	What did the dog do to the tree? Bark!	non_joke
682	Why was the math book sad on Halloween?  Because it had too many problems!	joke
704	Why did the professor bring a ladder to class? Because he heard the lecture was going to be on a higher level!	joke
182	Why don't crocodiles like fast food?  Because they can't catch it! 🐊🍔	joke
110	Why can't you take four New Yorkers camping? Because they refuse to pitch a tent!	joke
964	Why was the computer cold? It left its Windows open.	joke
1189	Why did the chair go to the carpenter? Because it had too many legs to stand on its own without support!	non_joke
204	Why are assembly programmers often wet?  They work below C-level.	joke
872	What did one plate say to the other plate? Dinner's on me!	joke
52	Why did the can break up with the can opener?  Because it said their relationship was getting too "uncanny"!	joke
545	Why don't you ever iron a four-leaf clover on St. Patrick's Day? Because you don't want to damage its delicate structure. \ud83c\udf40	non_joke
832	Why don't astronauts get hungry in space? Because they lost their appetite when they realized it's not rocket food!	joke
1233	Why did the basketball team visit the website? They heard it was great at providing tutorials, and they wanted to improve their dunking!	non_joke
714	They don't have the guts!	joke
1024	Why don't scientists trust atoms? Because they make up everything!!	joke
183	Why don't crocodiles eat fast food? Because they can't digest it. \ud83d\udc0a\ud83c\udf54	non_joke
137	Why did the dog sit in the shade? Because he wanted to avoid the heat.	non_joke
814	Why did the car break up with its owner?  Because it couldn't handle the constant back-seat driving!	joke
80	Why did the computer go to therapy? Because it had too many unresolved issues and couldn't "escape" its problems!	joke
1114	Why do soccer players do well in school? Because they know how to use their heads!	joke
1023	Why did the loaf of bread stop being paired with the margarine? Because it found a better combination! \ud83c\udf5e	non_joke
541	Why did the backyard pool need sunglasses? Because it was exposed to the sun's harmful rays.	non_joke
634	Did you hear about the mathematician who's afraid of negative numbers? He'll stop at nothing to avoid them!	joke
480	Why did the farmer go to the bank to get a loan? Because he needed money to buy a cow!	joke
165	A man walks into a library and asks the librarian for books about paranoia. The librarian responds, \"They're right over there, in the psychology section!\	non_joke
248	Why don't secrets work on the internet? Because you can't trust cookies to keep them!	joke
307	Why did the League of Legends player bring a strategy to the game? Because he heard it was a \"climb\" to the top of the ranks!	non_joke
986	Why did the therapist break up with their comedian partner?  Because they couldn't handle all the therapy jokes – they kept overanalyzing the punchlines!	joke
628	Why don't AIs ever have arguments? Because they always find common "al-gore-ithms"!	joke
334	Why was the cat sitting on the computer? Because it wanted to keep an eye on the mouse!	joke
97	What do you call a fish with no eyes? A blind fish!	non_joke
1004	Why did the Rubik's Cube refuse to join the dance party? Because it didn't want to get twisted around on the dance floor!	joke
984	Why did the ChatGPT cross the road?  To prove it could do something even less funny than telling a joke!	joke
102	Why did the cheese go to the art class?  Because it wanted to be a little more cultured!	joke
977	Why did the weather forecaster bring an umbrella to work? Because they were predicting showers!	non_joke
885	9 + 10 equals 19... in the straightforward world of mathematics and numerical logic! But in the world of internet memes, it's humorously claimed to be 21. So, unless you're navigating through the maze of internet humor, stick with the classics!	non_joke
1226	Why did the computer fast during Ramadan? Because it wanted to avoid bytes!	joke
838	Why did the Snorlax bring a pillow to the Pokémon battle?  Because it wanted to take a "rest" from all the "Snor"-ing opponents!	joke
1243	Why did the person apply for a job? Because they wanted to shift gears and drive their career forward!	non_joke
302	Why did the book join the police? Because it wanted to go undercover!	joke
1159	Why did Joe Biden bring a flashlight to the White House? Because he was informed there were some areas needing inspection in Congress.	non_joke
1125	Why did the Python programmer get lost in the jungle? Because they couldn't find their way out due to lack of a map!	non_joke
388	Why did the math book look sad? Because it had too many problems, just like the education system!	joke
235	Why did the Empire State Building install its own antenna? Because it had too many high frequencies for the other skyscrapers in New York City!	non_joke
1144	write a joke	joke
917	Why don't cats live in the jungle? Because there are too many predators!	non_joke
305	Why did the computer go to maintenance? Because it had too many bits and bytes and couldn't process its tasks!	non_joke
996	A man walks into a chess club and proudly announces, "I've just invented a new defense that's completely unbeatable!"  Intrigued, the club members gather around. The man sets up the board, places all his pieces in the starting positions, then triumphantly slams his king in the center of the board.  "Checkmate in one," he declares.	joke
1113	Why do whales sing? Because they can't communicate with each other using spoken language!	non_joke
249	Why don't secrets stay safe on the internet? Because you can't trust cookies to secure them!	non_joke
979	Why did the gym close down? Because it couldn't manage the financial burden anymore!	non_joke
1107	Why did the Valentine's Day card get sent to the post office? Because it had too many postage stamps!	non_joke
71	Why don't programmers like nature? Because it has too many elements of unpredictability!	non_joke
94	A man walks into a shoe store and asks for flip flops. The clerk says, "Sorry, we don't sell those, but we have sandals." The man says, "But those don't flop!"	joke
707	Why was the artist looking through the carrots? He was selecting the perfect one to complete his snowman sculpture.	non_joke
33	Why did the apple stop in the middle of the road? Because it fell from someone's grocery bag.	non_joke
993	A programmer enters a bar and orders 1.0f beers. The bartender serves him one beer. The programmer pushes the glass back and says, \"I specifically requested 1.0f beers, you need to comprehend floating point arithmetic!\" The bartender leans in and pours another beer. \"Satisfied now? Because at this moment you've received 1.1 beers, and there's no possibility I'm serving you 0.1 of a beer.\	non_joke
448	Why did the computer go to the doctor? Because it had a virus!	joke
445	Why don't University of Michigan students sink in the Great Lakes? Because they know how to swim!	non_joke
1050	Two hunters are out in the woods when one of them collapses. He doesn't seem to be breathing and his eyes are glazed. The other guy whips out his phone and calls emergency services. He gasps, "My friend is dead! What can I do?"  The operator says, "Calm down. I can help. First, let's make sure he's dead." There is a silence, then a gun shot is heard. Back on the phone, the guy says, "OK, now what?"	joke
754	Why did the computer go broke? Because it lost its cache!	joke
875	Why did the data scientist go broke? Because they invested all their resources in \"random forests\" and \"bayesian priors\" instead of \"conserving resources\" and \"prioritizing expenses\"!	non_joke
77	Why did the celebrity bring a journal to the awards ceremony? Because they wanted to document their own success!	non_joke
84	Why don't programmers like nature? Too many bugs!	joke
987	Why did the therapist end their relationship with their comedian partner? Because they couldn't handle all the therapy jokes \u2013 they kept overanalyzing the content!	non_joke
82	Why did the coffee file a police report? It got mugged every morning!	joke
457	Why did the computer science major stop collaborating with the art major? Because they couldn't process all the pixels in their project!	non_joke
826	Why did the student hire an AI to do their homework?  Because they wanted to turn in A.I.-mazing work without any effort!	joke
953	Why did the farmer bring a plow to the tractor convention? Because he heard it was a good way to stand out from the competition.	non_joke
436	Why did the coffee file a police report?  Because it got mugged every morning!	joke
644	Why did the baseball player bring string to the game? Because he wanted to tie up the score!	joke
1151	Why did the mathematician stop working with their imaginary number? Because they couldn't find its real component!	non_joke
1096	Why was the computer cold?  It left its Windows open!	joke
404	Why don’t we ever tell secrets on a farm? Because the potatoes have eyes, the corn has ears, and the beans stalk. 😄	joke
1198	A farmer, an engineer, and a mathematician are each tasked with building the most efficient fence to enclose a flock of sheep. The farmer constructs a square fence, claiming it's the most practical shape. The engineer opts for a circular fence, arguing it provides the maximum area with the least amount of material. The mathematician, however, simply wraps a small fence around himself and declares, "I define myself to be on the outside!" Confused, the farmer and engineer ask for an explanation. The mathematician responds, "In mathematics, it's all about setting the right boundaries. By positioning myself on the outside, I've effectively enclosed the rest of the universe with my fence, making it the most efficient solution of all!" The farmer and engineer shake their heads, amused by the mathematician's unconventional approach, while the sheep continue to graze, blissfully unaware of the complex reasoning behind their enclosure.	joke
781	Sure, here's a joke about hockey:\n\nWhy don't hockey players drink tea?\n\nBecause they're afraid of getting checked into the boards!\n\nNow, here's the same structure converted into a non-joke:\n\nWhy don't hockey players drink tea?\n\nBecause they're focused on maintaining their hydration and energy levels for the game.	non_joke
1333	What did the tomato say to the other tomato during a race? Speed up!	non_joke
104	Why don't gardeners ever get into arguments? Because they always nip it in the bud!	joke
609	Why did the football team go to the bank? Because they needed to manage their finances! But all they got was a fee for excessive withdrawal!	non_joke
695	Why don't coffee beans ever get damaged? Because they are processed and stored responsibly! \u2615\ud83d\ude04	non_joke
1172	Why did the math book look sad?  Because it had too many problems! Just like a teacher's to-do list!	joke
62	Can you tell me a joke about dogs.	joke
281	Why do water molecules interact with other substances? Because they often contribute to the formation of a solution!	non_joke
898	Why did the football team go to the bank? To get their quarterback!	joke
238	Why was the computer cold at the office? It left its Windows open!	joke
223	Why was the computer vulnerable? It left its Windows open!	non_joke
145	Why was the computer vulnerable? Because it left its Windows open!	non_joke
1281	Why did the painters part ways? Because they couldn't agree on the canvas! One wanted a smooth surface, the other preferred a rough texture. They discussed it all the time, but in the end, they just couldn't establish a harmonious working relationship!	non_joke
373	A tomato farmer walks into a bar and orders a drink. As the bartender prepares it, the farmer says, \"Hey, you know, I used to be a businessman.\" The bartender raises an eyebrow. \"Really? Why did you stop?\" The farmer replies in a defeated tone, \"I just couldn't keep up.\	non_joke
118	What do you call a dog magician? A labracadabrador!	joke
1036	Why did the golfer bring two pairs of pants to the golf course? In case he got a hole-in-one!	joke
250	Why did the sun go to school? To get a little brighter!	joke
1322	What did the fire say to the other fire? "We're a perfect match!"	joke
9	Why did the coffee owner file a police report? The coffee was stolen!	non_joke
449	Why did the computer go to the technician? Because it had a virus!	non_joke
255	Why did the book join the library? It wanted to be properly cataloged.	non_joke
593	Knock, knock. Who's there? It's me. It's me who? It's me, I'm outside and it's chilly! Hey, is your little one coming out to play?	non_joke
389	Why did the math book look worn out? Because it had too many problems, just like the education system!	non_joke
803	Why did the computer go to maintenance? Because it had too many issues to process and couldn't find its own optimal performance, even with advanced search algorithms!	non_joke
1102	Why did the French chef only use one egg in his omelette?  Because he didn't want to make an "eggs-cessive" fuss! 🍳🇫🇷	joke
